type,line,original,modern,english,id,title,description
section,,,,,part-1,Part 1,Meriasek's childhood
blank,,,,,,,
stage,,HIC INCIPIT ORDINALE DE VITA SANCTI MEREADOCI,,,,,
blank,,,,,,,
stage,,Pater mereadoci pompabit hic,,Meriasek's father shall here parade.,,,
blank,,,,,,,
speaker,,PATER MEREADOCI,Pater Meriadocus,MERIASEK'S FATHER,,,
line,1,Me yw gylwys duk bryten,My yw gelwys Dug Breten,"I am called Duke of Brittany,",,,
line,2,ha seuys a goys ryel,"ha sevys a woes ryal,","And raised from blood royal,",,,
line,3,ha war an gwlascur cheften,ha war an wlaskor chyften,And over the country chieftain,,,
line,4,nessa ʒen myterne vhell,"nessa dhe'n myghtern ughel,","Nearest to the high sovran,",,,
line,5,kyng conany,Kyng Konani.,King Conany.,,,
line,6,aye lynneth purwyr y thof,"A'y linyeth pur wir yth ov,","Of his lineage right truly am I,",,,
line,7,gwarthevyas war gvyls ha dof,"gwarthevyas war wyls ha dov,","Warden over wild and tame,",,,
line,8,doutis yn mysk arlyʒy,Doutys yn mysk arlydhi.,Feared among lords.,,,
blank,,,,,,,
line,9,Vn mab purwyr ʒyn y ma,"Unn mab pur wir dhyn yma,","A [One] son right truly we have,",,,
line,10,meriasek y hanow,Meryasek y hanow.,Meriasek his name.,,,
line,11,ʒe scole lemmyn y worra,Dhe skol lemmyn y worra,To school now put him,,,
line,12,me a vyn heb falladow,"my a vynn heb falladow,","I will without fail,",,,
line,13,dysky dader may halla,dyski dader may halla.,That he may learn goodness.,,,
line,14,mersyv gans du plygadow,"Mars yw gans Dyw plegadow,","If it be God's pleasure,",,,
line,15,y karsen y exaltya,y karsen y eksaltya,I should like to exalt him,,,
line,16,may fo perhennek gwlasow,may fo perghennek gwlasow.,That he may be owner of countries.,,,
blank,,,,,,,
speaker,,MATER,Mater,MERIASEK'S MOTHER,,,
line,17,Arluth henna yv gwrys da,"Arloedh, henna yw gwrys da","Lord, that is done well",,,
line,18,y exaltye yredy,y eksaltya yredi.,To exalt him readily.,,,
line,19,perfect ef a wore redya,Perfekt ev a woer redya:,Perfectly he can read:,,,
line,20,grammer angeffa deffry,"gramer a'n jeffa devri,","Grammar, that he shall have soon,",,,
line,21,y vyea tek,"y fia teg,","It would be fair,",,,
line,22,ha worshypp wosa helma,ha worshyp wosa hemma.,And worship after this.,,,
line,23,yv ʒe voth mos a lemma,"Yw dha vodh mos alemma,","Is thy will to go hence,",,,
line,24,lauer ʒynny ov map wek,"lavar dhyn ni, ow mab hweg?","Tell to us, my sweet son?",,,
blank,,,,,,,
speaker,,MERIADOCUS,Meriadocus,MERIASEK,,,
line,25,A das ha mam ov megyans,"A das ha mamm, ow megyans","O father and mother, my delight",,,
line,26,yv bos gorrys ʒe ʒyskans,"yw bos gorrys dhe dhyskans,","Is to be put to learning,",,,
line,27,rag attendie an scryptur,rag attendya an Skryptor.,To attend [understand] the Scripture.,,,
line,28,gothvos ynweth decernya,Godhvos ynwedh dissernya,Knowledge likewise to discern,,,
line,29,omma ynter drok ha da,omma ynter drog ha da,Here between evil and good,,,
line,30,yv ov ewnadow pup vr,yw ow yeunadow pub eur.,Is my desire always.,,,
