type,line,original,modern,english
stage,,,,To the young man
line,1,golsoug ty coweʒ,"Goslow, ty koweth,","Listen friend,"
line,2,byʒ na borʒ meʒ,byth na borth meth.,Don't ever be shy!
line,3,dyyskyn ha powes,Diyskyn ha powes,Get down and rest
line,4,ha ʒymo dus nes,"ha dhymmo deus nes,",and come closer to me
line,5,mar coʒes ʒe les,"mar kodhes dha les,","if you know what's good for you,"
line,6,ha ʒys y rof mowes,ha dhis y rov mowes,"and I will give you a girl,"
line,7,ha fest unan dek,ha fest onan deg.,and a very pretty one.
line,8,genes mar a plek,Genes mara pleg,"If she pleases you,"
line,9,"ha, tanha y","a, tann hi.","go, take her."
line,10,kymmerr y ʒoʒ wrek,Kemmer hi dhe'th wreg.,Take her as your wife.
line,11,sconya ʒys ny vek,"Skonya dhis ny vek,","She won't pretend to refuse you,"
line,12,ha ty a vyʒ hy,ha ty a' fydh hi.,and she will be yours.
blank,,,,
line,13,hy a vyʒ gwreg ty da,"Hi a vydh gwre'ti da,",She will be a good wife
line,14,ʒys ʒe synsychy,dhis dh'y synsi hi.,for you to hold her.
line,15,pur wyr a lauara,Pur wir a lavarav.,I tell you truly.
line,16,ha govyn worty,"A, govyn orti.","Go, ask her."
blank,,,,
line,17,Lemen yʒ torn my as re,Lemmyn y'th torn my a's re,Now I give her into your hand
line,18,ha war an greyʒ my an te,ha war an Grys my a'n te,and on the Creed I swear
line,19,nag usy far,nag eus hy far,that there is not her equal
line,20,an barʒ ma ʒe pons tamar,a'n barth ma dhe bons Tamar.,from here to the Tamar Bridge.
blank,,,,
line,21,my ad pes worty byʒ da,"My a'th pes, orti bydh da","I beg you, be good to her,"
line,22,ag ol ʒe voʒ hy a wra,hag oll dha vodh hi a wra,"and she will do as you wish,"
line,23,rag flog yw ha gensy soʒ,rag flogh yw ha gensi doth,"for she is a child and well-behaved,"
line,24,ha gassy ʒe gafus hy boʒ,hag a fi dhe gavòs hy bodh.,and scorns to have her own way.
blank,,,,
stage,,,,To both
line,25,kenes mos ʒymmo ymmyug,"Kens es mos, dhymmo ymmewgh.","Before going, kiss for me."
line,26,eug alema ha fystynyug,Ewgh alemma ha fistenewgh.,Get going and hurry!
blank,,,,
stage,,,,To the girl
line,27,dallaʒ a var infreʒ dar war,Dalleth a-varr; yn freth darwar,Start early; be careful
line,28,oun ma porʒo,"own ma porttho,","that he is fearful,"
line,29,ef emsettye worʒesy,Ev omsettya orthis sy,that he in any way
line,30,kam na veʒo,kamm na vettho.,would not dare oppose you.
blank,,,,
line,31,mar aʒ herg ʒys gul nep tra,"Mara'th ergh dhis gul neb tra,","If he bids you do something,"
line,32,lauar ʒesy byʒ ny venna,"lavar dhesy ""Byth ny venna'"".","say you, ""I never will."""
line,33,lauar ʒoʒo gwra mar mennyʒ,"Lavar dhodho, ""Gwra mar mennydh.""","Say to him, ""Do it if you wish."""
line,34,awos a gallo na wra tra vyʒ,"Awos a allo, na wra tra vyth.","In spite of all he can, do nothing."
line,35,in vrna yʒ sens ʒe ves meystres,Y'n eur na y'th sens dhe vos mestres,Then he will consider you a mistress and
line,36,hedyr vywy hag harluʒes,"hadre vywhi, hag arlòdhes.","a lady, as long as you live."
blank,,,,
line,37,cas o ganso re nofferen [[note: Williams (2020) reads this as "ras".]],"Ras o ganso, re'n Oferen.","He was gracious, by the Mass."
line,38,curtes yw ha deboner,Kortes yw ha deboner;,He is courteous and kind;
line,39,ʒys dregyn ny wra,Dhis dregyn ny wra.,He will do you no harm.
line,40,mar an kefyʒ in danger,"Mara'n kevydh yn danjer,","If you get him in your power,"
line,41,sense fast indella,sens e fast yndella.,keep him firmly that way!
